Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,besplatna_dostava (product.metafields.custom.besplatna_dostava),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Accessory size (product.metafields.shopify.accessory-size),Age group (product.metafields.shopify.age-group),Application method (product.metafields.shopify.application-method),Bag/Case features (product.metafields.shopify.bag-case-features),Bag/Case material (product.metafields.shopify.bag-case-material),Brush material (product.metafields.shopify.brush-material),Cleaning surfaces (product.metafields.shopify.cleaning-surfaces),Coffee product form (product.metafields.shopify.coffee-product-form),Coffee roast (product.metafields.shopify.coffee-roast),Color (product.metafields.shopify.color-pattern),Constitutive ingredients (product.metafields.shopify.constitutive-ingredients),Cosmetic function (product.metafields.shopify.cosmetic-function),Country (product.metafields.shopify.country),Dirt separating method (product.metafields.shopify.dirt-separating-method),Dispenser type (product.metafields.shopify.dispenser-type),Dry/Wet cleaning (product.metafields.shopify.dry-wet-cleaning),Dust container type (product.metafields.shopify.dust-container-type),Fabric (product.metafields.shopify.fabric),Flavor (product.metafields.shopify.flavor),Handle material (product.metafields.shopify.handle-material),Handwear material (product.metafields.shopify.handwear-material),Ingredients (product.metafields.shopify.ingredients),Item condition (product.metafields.shopify.item-condition),Material (product.metafields.shopify.material),Mounting type (product.metafields.shopify.mounting-type),Organizer type (product.metafields.shopify.organizer-type),Package type (product.metafields.shopify.package-type),Product form (product.metafields.shopify.product-form),Shampoo type (product.metafields.shopify.shampoo-type),Suitable for hair type (product.metafields.shopify.suitable-for-hair-type),Suitable for skin type (product.metafields.shopify.suitable-for-skin-type),Target gender (product.metafields.shopify.target-gender),Vacuum air filtering technology (product.metafields.shopify.vacuum-air-filtering-technology),Vehicle application area (product.metafields.shopify.vehicle-application-area),Vehicle fluid type (product.metafields.shopify.vehicle-fluid-type),Vehicle type (product.metafields.shopify.vehicle-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
maxima-ledomat-m-ice-45,Maxima Ledomat M-ICE 45,"<h2><strong>Maxima Ledomat Ice Cube Machine M-ICE 45</strong></h2>
<p>je mašina za šuplje kocke leda sa kućištem od nerđajućeg čelika. Proizvodi 45kg leda za 24 sata.</p>
<p>Ova mašina za šuplje kocke leda se lako i brzo instalira. Sa ovim Maxima ledomatom brzo ćete moći da uživate u ledeno hladnom napitku. Aparat za proizvodnju kockica leda proizvodi najmanje 45kg leda za 24 sata.</p>
<p>Dobro je znati: ovaj aparat može da skladišti 7kg kockica leda. Još jedna prednost ove Maxima mašine za kockice leda je da se lako čisti. Podesive nogice osiguravaju da možete podesiti visinu koju želite. Ukratko, imaćete puno mogućnosti sa ovom robusnom mašinom za kocke leda! Ispod možete pronaći sve karakteristike Maxima Ice Cube Machine M-ICE 45:</p>
<ul>
<li>Ledomat srednje veličine</li>
<li>Kućište i vrata od nerđajućeg čelika 18/8</li>
<li>Postavlja se ispod pulta</li>
<li>Proizvodnja 45kg na 24 sata</li>
<li>Kapacitet skladištenja leda: 7kg</li>
<li>Unutrašnja komora od ABS-a</li>
<li>Dobra izolacija i higijena</li>
<li>Zaštita od preopterećenja</li>
<li>Opremljen ventilom za vodu</li>
<li>Vazdušno hlađenje sa zadnje strane</li>
<li>Standardne šuplje kockice leda</li>
<li>Približna veličina kockica leda: ø20-30 x V30-40mm</li>
<li>Efikasan sistem hlađenja sa R290</li>
<li>Brza i laka instalacija</li>
<li>Stoji na četiri podesive noge</li>
<li>Lako se čisti</li>
<li>Neto težina: 28kg</li>
<li>Dimenzije: V608 x Š398 x D510mm</li>
<li>230V / 50Hz / Monofazno 280W</li>
</ul>
<p>Smatramo da su izvrsna korisnička usluga i dobro iskustvo sa našim proizvodima obavezni, prema tome veoma nam je bitno da budemo sa Vama i nakon kupovine Maxima ledomata. Naša tehnička služba Vam stoji na raspolaganju u vezi sa svim pitanjima i pomoći koja Vam bude trebala. Naši prodajni stručnjaci mogu Vam reći sve o Maxima mašinama za kocke leda iz našeg asortimana.</p>",Maxima,Home & Garden > Kitchen & Dining > Kitchen Appliances > Ice Makers,"","Kuhinjska oprema, Ledomati, Ugostiteljska oprema",true,Title,Default Title,,,,,,,,ML11245,0.0,,deny,manual,1750.00,1849.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0811/5565/3912/files/maxima-ledomat-m-ice-45-5-600x600.webp?v=1752828842,1,"",false,Ledomat | Maxima M ICE CUBE 45 ,"Neizostavni uređaji gdje god se vrši točenje i služenje pića jesu svakako ledomati, a ledomati iz naše ponude spadaju među najkvalitetnije na svjetskom tržištu.",,,,,,,,,,,,silver; gray,,,,,,,,,,,,,,,counter,,,,,,,,,,,,,,,,,kg,,,active
maxima-ledomat-m-ice-45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0811/5565/3912/files/maxima-ledomat-m-ice-45-1-600x600.webp?v=1752830576,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maxima-ledomat-m-ice-45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0811/5565/3912/files/maxima-ledomat-m-ice-45-2-600x600.webp?v=1752830576,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maxima-ledomat-m-ice-45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0811/5565/3912/files/maxima-ledomat-m-ice-45-4-600x600.webp?v=1752830576,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maxima-ledomat-m-ice-45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0811/5565/3912/files/maxima-ledomat-m-ice-45-3-600x600.webp?v=1752830576,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maxima-ledomat-m-ice-45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0811/5565/3912/files/maxima-ledomat-m-ice-45-6-600x600.webp?v=1752830576,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
masina-za-pranje-casa-i-posuda-aristarco-af-35-25-esi,Mašina za pranje čaša i posuđa Aristarco AF 35.25 ESI,"<h2 data-start=""106"" data-end=""184""><strong data-start=""106"" data-end=""184"">Profesionalna mašina za pranje čaša i posuđa</strong></h2>
<p data-start=""186"" data-end=""354"">Kompaktna, ali izuzetno efikasna, mašina <strong data-start=""227"" data-end=""251"">AF 40.30 ESI LS S DD</strong> savršen je izbor za ugostiteljske objekte s ograničenim prostorom, ali visokim standardima higijene.</p>
<p data-start=""356"" data-end=""822"">✅ Dimenzije: <span>440 x 497 x 640</span> mm<br data-start=""391"" data-end=""394"">✅ Dimenzija korpe: 350 x 350 mm<br data-start=""429"" data-end=""432"">✅ Maksimalna visina posuđa: 300 mm<br data-start=""470"" data-end=""473"">✅ Ciklusi pranja: 90 / 120 / 180 / 540 sekundi<br data-start=""523"" data-end=""526"">✅ Potrošnja vode po ciklusu: samo 2 litra<br data-start=""571"" data-end=""574"">✅ Snaga pumpe: 190 W<br data-start=""598"" data-end=""601"">✅ Grijač tank/bojler: 2.4 / 2.7 kW<br data-start=""639"" data-end=""642"">✅ Kapacitet tank/bojler: 12 l / 3 l<br data-start=""681"" data-end=""684"">✅ Preporučeni vodeni pritisak: 2–5 bara<br data-start=""727"" data-end=""730"">✅ Težina uređaja: 36,5 kg<br data-start=""759"" data-end=""762"">✅ Napajanje: 230V – 50Hz<br data-start=""790"" data-end=""793"">✅ Ukupna snaga: 2,89 kW</p>
<p data-start=""824"" data-end=""858""><strong data-start=""824"" data-end=""856"">Napredne funkcije uključuju:</strong></p>
<ul data-start=""859"" data-end=""1040"">
<li data-start=""859"" data-end=""912"">
<p data-start=""861"" data-end=""912"">Elektronske komande s jasnim digitalnim displejom</p>
</li>
<li data-start=""913"" data-end=""944"">
<p data-start=""915"" data-end=""944"">Prikaz trenutne temperature</p>
</li>
<li data-start=""945"" data-end=""995"">
<p data-start=""947"" data-end=""995"">Termostop sistem za optimalnu kontrolu toplote</p>
</li>
<li data-start=""996"" data-end=""1040"">
<p data-start=""998"" data-end=""1040"">Ugrađeni filter tanka za dodatnu čistoću</p>
</li>
</ul>
<p data-start=""1042"" data-end=""1064""><strong data-start=""1042"" data-end=""1062"">U paketu dolazi:</strong></p>
<ul data-start=""1065"" data-end=""1133"">
<li data-start=""1065"" data-end=""1088"">
<p data-start=""1067"" data-end=""1088"">Dvije korpe za čaše</p>
</li>
<li data-start=""1089"" data-end=""1110"">
<p data-start=""1091"" data-end=""1110"">Korpica za escajg</p>
</li>
<li data-start=""1111"" data-end=""1133"">
<p data-start=""1113"" data-end=""1133"">Držač za tanjiriće</p>
</li>
</ul>
<p data-start=""1135"" data-end=""1261"">Idealan balans između performansi i uštede resursa – savršen izbor za restorane, barove, kafiće i manja kuhinjska postrojenja.</p>",Aristarco,Home & Garden > Kitchen & Dining > Kitchen Appliances > Dishwashers,"","Kuhinjska oprema, Masina za pranje posuđa, mašina za pranje suđa, Ugostiteljska oprema",true,Title,Default Title,,,,,,,,AF35.25ESIDD,0.0,,deny,manual,2690.00,3150.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0811/5565/3912/files/AF4030-ESI-LS-tqc-500x0-c-default.webp?v=1752756230,1,"",false,Profesionalna Mašina za posuđe Aristarco AF 40.30 ESI ,"Profesionalna mašina za pranje čaša i posuđa idealna za ugostitelje u BiH. Štedi vodu i energiju, uz vrhunske performanse i kompaktne dimenzije.",,,,,,,,,,,,silver,,,,,,,,,,,,,,,counter,,,,,,,,,,,,,,,,,kg,,,active
masina-za-pranje-casa-i-posuda-aristarco-af-35-25-esi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0811/5565/3912/files/AF4030-ESI-LS-tqa-tazzine-500x0-c-default.webp?v=1752756230,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
masina-za-pranje-casa-i-posuda-aristarco-af-35-25-esi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0811/5565/3912/files/Particolare-AF-35-38-scaled-500x0-c-default.webp?v=1752827707,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
masina-za-pranje-casa-i-posuda-aristarco-af-40-30-esi,Mašina za pranje čaša i posuđa Aristarco AF 40.30 ESI,"<h2 data-start=""106"" data-end=""184""><strong data-start=""106"" data-end=""184"">Profesionalna mašina za pranje čaša i posuđa</strong></h2>
<p data-start=""186"" data-end=""354"">Kompaktna, ali izuzetno efikasna, mašina <strong data-start=""227"" data-end=""251"">AF 40.30 ESI LS S DD</strong> savršen je izbor za ugostiteljske objekte s ograničenim prostorom, ali visokim standardima higijene.</p>
<p data-start=""356"" data-end=""822"">✅ Dimenzije: 455 x 550 x 700 mm<br data-start=""391"" data-end=""394"">✅ Dimenzija korpe: 400 x 400 mm<br data-start=""429"" data-end=""432"">✅ Maksimalna visina posuđa: 300 mm<br data-start=""470"" data-end=""473"">✅ Ciklusi pranja: 90 / 120 / 180 / 540 sekundi<br data-start=""523"" data-end=""526"">✅ Potrošnja vode po ciklusu: samo 2 litra<br data-start=""571"" data-end=""574"">✅ Snaga pumpe: 190 W<br data-start=""598"" data-end=""601"">✅ Grijač tank/bojler: 2.4 / 2.7 kW<br data-start=""639"" data-end=""642"">✅ Kapacitet tank/bojler: 12 l / 3 l<br data-start=""681"" data-end=""684"">✅ Preporučeni vodeni pritisak: 2–5 bara<br data-start=""727"" data-end=""730"">✅ Težina uređaja: 36,5 kg<br data-start=""759"" data-end=""762"">✅ Napajanje: 230V – 50Hz<br data-start=""790"" data-end=""793"">✅ Ukupna snaga: 2,89 kW</p>
<p data-start=""824"" data-end=""858""><strong data-start=""824"" data-end=""856"">Napredne funkcije uključuju:</strong></p>
<ul data-start=""859"" data-end=""1040"">
<li data-start=""859"" data-end=""912"">
<p data-start=""861"" data-end=""912"">Elektronske komande s jasnim digitalnim displejom</p>
</li>
<li data-start=""913"" data-end=""944"">
<p data-start=""915"" data-end=""944"">Prikaz trenutne temperature</p>
</li>
<li data-start=""945"" data-end=""995"">
<p data-start=""947"" data-end=""995"">Termostop sistem za optimalnu kontrolu toplote</p>
</li>
<li data-start=""996"" data-end=""1040"">
<p data-start=""998"" data-end=""1040"">Ugrađeni filter tanka za dodatnu čistoću</p>
</li>
</ul>
<p data-start=""1042"" data-end=""1064""><strong data-start=""1042"" data-end=""1062"">U paketu dolazi:</strong></p>
<ul data-start=""1065"" data-end=""1133"">
<li data-start=""1065"" data-end=""1088"">
<p data-start=""1067"" data-end=""1088"">Dvije korpe za čaše</p>
</li>
<li data-start=""1089"" data-end=""1110"">
<p data-start=""1091"" data-end=""1110"">Korpica za escajg</p>
</li>
<li data-start=""1111"" data-end=""1133"">
<p data-start=""1113"" data-end=""1133"">Držač za tanjiriće</p>
</li>
</ul>
<p data-start=""1135"" data-end=""1261"">Idealan balans između performansi i uštede resursa – savršen izbor za restorane, barove, kafiće i manja kuhinjska postrojenja.</p>",Aristarco,Home & Garden > Kitchen & Dining > Kitchen Appliances > Dishwashers,"","Kuhinjska oprema, Masina za pranje posuđa, mašina za pranje suđa, Ugostiteljska oprema",true,Title,Default Title,,,,,,,,AF40.30ESIDD,0.0,,deny,manual,3090.00,3490.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0811/5565/3912/files/AF4030-ESI-LS-tqc-500x0-c-default.webp?v=1752756230,1,"",false,Profesionalna Mašina za posuđe Aristarco AF 40.30 ESI ,"Profesionalna mašina za pranje čaša i posuđa idealna za ugostitelje u BiH. Štedi vodu i energiju, uz vrhunske performanse i kompaktne dimenzije.",,,,,,,,,,,,silver,,,,,,,,,,,,,,,counter,,,,,,,,,,,,,,,,,kg,,,active
